company_name,phone_rep,phone_login,rep_email,prefecture,status,active
有限会社綜合環境サービス,0471696933,0476426100,sogokankyo@nifty.com,千葉県,アクティブ,1
有限会社千代田衛生,0299592358,09084789910,gucchi@peach.ocn.ne.jp,茨城県,アクティブ,1
有限会社上野商店,0467823318,09047387329,ueno-shouten@nethome.ne.jp,神奈川県,アクティブ,1
有限会社河口商店,0564241374,09078655058,kawaguti@catvmics.ne.jp,愛知県,アクティブ,1
株式会社ビソー環境,0533698110,09023476392,takeru-b@mbn.nifty.com,愛知県,アクティブ,1
有限会社ジー・ケーサービス,0836210315,09084006998,y.hashiguchi@gk-service.jp,山口県,アクティブ,1
有限会社ケーアイ,0568240279,09050390135,ki@ecoro85.jp,愛知県,アクティブ,1
武松商事株式会社,0457706055,09088702362,m-fukawa@takematsu.co.jp,神奈川県,アクティブ,1
大村商事株式会社,0484720328,09044956111,kanemitsu0538@gmail.com,埼玉県,アクティブ,1
松岡クリーナー株式会社,0822552468,09087142092,n-kawakami@matsuoka-cl.com,広島県,アクティブ,1
株式会社大橋,0471581600,0471581600,o-hashi@gol.com,千葉県,アクティブ,1
株式会社西部ビルメン,0827383111,08052382577,info@seibubirumen.co.jp,山口県,アクティブ,1
株式会社西原資源,0822503933,08057586751,mizuiri@nishihara-rc.co.jp,広島県,アクティブ,1
株式会社小城クリーン環境,0952664968,07047182535,ogikurin@opal.ocn.ne.jp,佐賀県,アクティブ,1
株式会社永野商店,0962455318,08032215092,kumakuma@naganosyotens.co.jp,熊本県,アクティブ,1
株式会社センタークリーナー,0822540003,08028955060,centercleaner@ecenter.co.jp,広島県,アクティブ,1
有限会社つくば環境サービス,0296222626,09087497277,tsukubakankyou@e-mail.jp,茨城県,契約書却下,0
クリーントレイディング赤城産業株式会社,0495245353,0495245353,info-4710@ct-akagi.co.jp,埼玉県,アクティブ,1
株式会社トーアクリーン,0566927770,08051271399,reception@toaclean.jp,愛知県,アクティブ,1
有限会社ニチエイ環境,0930232005,09096550776,nichieikankyo@mountain.ocn.ne.jp,福岡県,アクティブ,1
護美飼糧株式会社,0862965300,0862965300,info@gomi.tv,岡山県,アクティブ,1
有限会社津山清美社,0868264661,,mail@seibisya.com,岡山県,アクティブ,1
株式会社フカマチ,0944724350,09074747047,yamaguchi317d@gmail.com,福岡県,アクティブ,1
有限会社渡辺新生興業,0476424788,,info@w-shinsei.co.jp,千葉県,アクティブ,1
株式会社松清,0964334659,08039623063,matsusei4659@yahoo.co.jp,熊本県,アクティブ,1
株式会社那珂川開発,0929529003,08027178500,jinno.syunn.01@gmail.com,福岡県,アクティブ,1
株式会社サンビッグ,0956261733,09057490481,sunbig.kk.1733@ace.ocn.ne.jp,長崎県,アクティブ,1
企業組合相知清掃社,0955623816,09082263539,ouchiseisousya@ia5.itkeeper.ne.jp,佐賀県,アクティブ,1
山友商事株式会社,0936168946,07052731366,kaku@yamatomo-shouji.com,福岡県,アクティブ,1
